device,n_anchors,encoding,n_uspc,data_idx,network_time
macbook_pro_15,512,EncodeProbeBufferCPUFloat4Striped,2,1018.0,15.078055964653903
macbook_pro_15,512,EncodeProbeBufferCPUFloat4Striped,4,1018.0,15.667157584683357
macbook_pro_15,512,EncodeProbeBufferCPUOptimized,1,1018.0,14.404025527736868
macbook_pro_15,512,EncodeProbeBufferCPUOptimized,2,1018.0,14.095238095238095
macbook_pro_15,512,EncodeProbeBufferCPUOptimized,4,1018.0,24.200785468826705
macbook_pro_15,512,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,11.42071674030437
macbook_pro_15,512,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,14.054491899852724
macbook_pro_15,512,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,15.98772704958272
macbook_pro_15,768,EncodeProbeBufferCPUFloat4,1,1018.0,14.561610211094747
macbook_pro_15,768,EncodeProbeBufferCPUFloat4,2,1018.0,24.879234167893962
macbook_pro_15,768,EncodeProbeBufferCPUFloat4,4,1018.0,37.34216985763378
macbook_pro_15,768,EncodeProbeBufferCPUFloat4Striped,1,1018.0,11.889543446244478
macbook_pro_15,768,EncodeProbeBufferCPUFloat4Striped,2,1018.0,16.573392243495338
macbook_pro_15,768,EncodeProbeBufferCPUFloat4Striped,4,1018.0,17.32842415316642
macbook_pro_15,768,EncodeProbeBufferCPUOptimized,1,1018.0,12.519882179675994
macbook_pro_15,768,EncodeProbeBufferCPUOptimized,2,1018.0,13.814923907707414
macbook_pro_15,768,EncodeProbeBufferCPUOptimized,4,1018.0,24.719194894452627
macbook_pro_15,768,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,11.460481099656358
macbook_pro_15,768,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,14.770250368188513
macbook_pro_15,768,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,17.124202258222876
macbook_pro_15,1024,EncodeProbeBufferCPUFloat4,1,1018.0,18.929798723613157
macbook_pro_15,1024,EncodeProbeBufferCPUFloat4,2,1018.0,29.268532155130092
macbook_pro_15,1024,EncodeProbeBufferCPUFloat4,4,1018.0,42.03534609720177
macbook_pro_15,1024,EncodeProbeBufferCPUFloat4Striped,1,1018.0,12.224349533627883
macbook_pro_15,1024,EncodeProbeBufferCPUFloat4Striped,2,1018.0,14.148748159057437
macbook_pro_15,1024,EncodeProbeBufferCPUFloat4Striped,4,1018.0,17.774668630338734
macbook_pro_15,1024,EncodeProbeBufferCPUOptimized,1,1018.0,12.382425135002455
