,dataset,theta,metric,method,accuracy
565,0,1.41,shc_mse,sphere,0.5
566,0,1.41,shc_mse,xihe,0.5
567,0,1.41,shc_mse,entropy,0.5
568,0,1.42,shc_mse,image,0.5
569,0,1.42,shc_mse,sphere,0.5
570,0,1.42,shc_mse,xihe,0.5
571,0,1.42,shc_mse,entropy,0.5
572,0,1.43,shc_mse,image,0.5
573,0,1.43,shc_mse,sphere,0.5
574,0,1.43,shc_mse,xihe,0.5
575,0,1.43,shc_mse,entropy,0.5
576,0,1.44,shc_mse,image,0.5
577,0,1.44,shc_mse,sphere,0.5
578,0,1.44,shc_mse,xihe,0.5
579,0,1.44,shc_mse,entropy,0.5
580,0,1.45,shc_mse,image,0.5
581,0,1.45,shc_mse,sphere,0.5
582,0,1.45,shc_mse,xihe,0.5
583,0,1.45,shc_mse,entropy,0.5
584,0,1.46,shc_mse,image,0.5
585,0,1.46,shc_mse,sphere,0.5
586,0,1.46,shc_mse,xihe,0.5
587,0,1.46,shc_mse,entropy,0.5
588,0,1.47,shc_mse,image,0.5
589,0,1.47,shc_mse,sphere,0.5
590,0,1.47,shc_mse,xihe,0.5
591,0,1.47,shc_mse,entropy,0.5
592,0,1.48,shc_mse,image,0.5
593,0,1.48,shc_mse,sphere,0.5
594,0,1.48,shc_mse,xihe,0.5
595,0,1.48,shc_mse,entropy,0.5
596,0,1.49,shc_mse,image,0.5
597,0,1.49,shc_mse,sphere,0.5
598,0,1.49,shc_mse,xihe,0.5
599,0,1.49,shc_mse,entropy,0.5
600,0,1.5,shc_mse,image,0.5
601,0,1.5,shc_mse,sphere,0.5
602,0,1.5,shc_mse,xihe,0.5
603,0,1.5,shc_mse,entropy,0.5
